['LOG', 'COUNTER', 'INTERPOLATED', 'RAW_CQ', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'TIMESTAMP', 'ES_TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2016-10-05T18:35:00.092000 , 72.0 , 0.0 , 0.0 , 4281.02564103 , 4270.76923077 , 4311.79487179 , 4296.41025641 , 4179.48717949 , 4180.51282051 , 4175.8974359 , 4197.43589744 , 4198.97435897 , 4198.97435897 , 4209.23076923 , 4950.76923077 , 4070.25641026 , 4198.46153846 , 0.500911208379 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.092000 , 73.0 , 0.0 , 0.0 , 4286.15384615 , 4280.0 , 4301.53846154 , 4305.12820513 , 4191.79487179 , 4192.82051282 , 4187.17948718 , 4196.41025641 , 4197.43589744 , 4198.46153846 , 4208.20512821 , 4956.92307692 , 4085.64102564 , 4202.05128205 , 0.508227372206 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.092000 , 74.0 , 0.0 , 0.0 , 4275.8974359 , 4275.38461538 , 4284.61538462 , 4293.33333333 , 4195.8974359 , 4194.35897436 , 4191.79487179 , 4197.94871795 , 4195.8974359 , 4196.92307692 , 4212.30769231 , 4955.38461538 , 4099.48717949 , 4202.05128205 , 0.515543536033 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.092000 , 75.0 , 0.0 , 0.0 , 4285.64102564 , 4278.97435897 , 4296.41025641 , 4310.25641026 , 4186.66666667 , 4181.02564103 , 4186.15384615 , 4196.41025641 , 4196.92307692 , 4196.92307692 , 4212.30769231 , 4954.35897436 , 4090.25641026 , 4200.51282051 , 0.522859699859 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.092000 , 76.0 , 0.0 , 0.0 , 4285.12820513 , 4279.48717949 , 4283.58974359 , 4307.69230769 , 4183.07692308 , 4178.46153846 , 4181.53846154 , 4194.87179487 , 4198.46153846 , 4200.0 , 4230.25641026 , 4949.23076923 , 4111.79487179 , 4203.58974359 , 0.530175863686 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

