['LOG', 'COUNTER', 'INTERPOLATED', 'RAW_CQ', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'TIMESTAMP', 'ES_TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2016-10-05T18:16:55.875484 , 8.0 , 0.0 , 0.0 , 4199.48717949 , 4278.46153846 , 4282.56410256 , 4293.84615385 , 4191.79487179 , 4233.84615385 , 4254.87179487 , 4195.38461538 , 4194.87179487 , 4195.8974359 , 4153.33333333 , 4945.64102564 , 4084.1025641 , 4120.51282051 , 3.78136595279 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.876072 , 9.0 , 0.0 , 0.0 , 4194.35897436 , 4271.79487179 , 4260.0 , 4279.48717949 , 4185.12820513 , 4226.15384615 , 4248.20512821 , 4192.82051282 , 4195.8974359 , 4195.8974359 , 4172.82051282 , 4954.35897436 , 4096.41025641 , 4135.8974359 , 3.78968211662 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.876652 , 10.0 , 0.0 , 0.0 , 4198.97435897 , 4282.56410256 , 4268.71794872 , 4290.76923077 , 4201.02564103 , 4254.87179487 , 4271.79487179 , 4193.33333333 , 4197.43589744 , 4194.87179487 , 4161.53846154 , 4949.74358974 , 4071.28205128 , 4110.25641026 , 3.79799828044 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.877006 , 11.0 , 0.0 , 0.0 , 4182.05128205 , 4263.07692308 , 4263.58974359 , 4281.02564103 , 4190.76923077 , 4237.43589744 , 4253.84615385 , 4195.8974359 , 4195.38461538 , 4200.51282051 , 4174.35897436 , 4953.33333333 , 4063.07692308 , 4104.1025641 , 3.80631444427 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.877229 , 12.0 , 0.0 , 0.0 , 4201.53846154 , 4281.02564103 , 4280.0 , 4302.05128205 , 4198.46153846 , 4234.87179487 , 4249.23076923 , 4195.38461538 , 4194.87179487 , 4200.0 , 4173.84615385 , 4947.69230769 , 4053.84615385 , 4090.25641026 , 3.8146306081 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

